id,name,decipiline,launch date,launch time,launch site,launch status
1,Aryabhatta,"Earth Sciences, Space Physics",19-Apr-75,13:10:00 IST,Kapustin Yar,1
2,Bhaskara Sega-I,"Astronomy, Communications, Engineering,Earth Sciences",07-Jun-79,16:00:00 IST,Kapustin Yar,1
3,Rohini Technology Payload,Experimental,10-Aug-79,,"Satish Dhawan Space Centre,
Sriharikota",0
4,Rohini RS-1 (Rohini-1B),Earth Sciences,18-Jul-80,08:01:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
5,Rohini RS-D1 (Rohini-2),Earth Sciences,31-May-81,10:30:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
6,APPLE,Communications,19-Jun-81,18:02:59 IST,"Centre Spatial Guyanais, Kourou",1
7,Bhaskara -II,"Engineering,Earth Sciences",20-Nov-81,14:08:00 IST,Kapustin Yar,1
8,INSAT-1A,Communications,10-Apr-82,12:17:00 IST,"Air Force Eastern Test Range, Florida",1
9,Rohini RS-D2 (Rohini-3),Earth Sciences,17-Apr-83,11:14:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
10,INSAT-1B,"Communications,Earth Sciences",01-Jun-83,13:19:00 IST,"Air Force Eastern Test Range, Florida",1
11,SROSS-1,Experimental,24-Mar-87,,"Satish Dhawan Space Centre, Sriharikota",0
12,IRS-1A,Earth Sciences,17-Mar-88,12:42:00 IST,"Baikonur Cosmodrome, Kazakhstan",1
13,SROSS-2,"Astronomy,Space Physics",13-Jul-88,,"Satish Dhawan Space Centre, Sriharikota",0
14,INSAT-1C,"Communications,Earth Sciences",22-Jul-88,04:42:00 IST,"Centre Spatial Guyanais, Kourou",1
15,INSAT-1D,"Communications,Earth Sciences",12-Jun-90,11:22:00 IST,"Air Force Eastern Test Range, Florida",1
16,IRS-1B,Earth Sciences,29-Aug-91,12:18:00 IST,"Baikonur Cosmodrome, Kazakhstan",1
17,INSAT-2DT (Formerly ARABSAT-1C) (INSAT-2R),Communications,27-Feb-92,05:28:10 IST,"Centre Spatial Guyanais, Kourou",1
18,SROSS-C (SROSS-3),"Astronomy,Earth Sciences,Space Physics",20-May-92,08:30:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
19,INSAT-2A,"Communications,Earth Sciences",10-Jul-92,04:12:19 IST,"Centre Spatial Guyanais, Kourou",1
20,INSAT-2B,"Communications,Earth Sciences",23-Jul-93,04:29:00 IST,"Centre Spatial Guyanais, Kourou",1
