#,Name,Discipline,COSPAR ID,SatCat #,Launch Mass,Dry Mass,On-board Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Semi-Major Axis,Period,Inclination,Longitude,Eccentricity,Epoch Start,Decay Date,Note
1.0,Aryabhatta,Earth Sciences Space Physics,1975-033A,07752,360 kg (790 lb),,46 W,"19 April 1975, 13:10:00 IST",Interkosmos-II,Kapustin Yar Missile and Space Complex,568 km (353 mi),611 km (380 mi),,96.5 mins,50.7°,,0.00308,"19 April 1975, 01:30:00 IST",11 February 1992,Active technological experience in building and operating a satellite system. This was India's first indigenously designed and built satellite
2.0,Bhaskara Sega-I,Astronomy Communications Engineering Earth Sciences,1979-051A,11392,444 kg (979 lb),,47 W,"7 June 1979, 16:00:00 IST",Modified SS-5 (SKean IRBM) plus Upper Stage,Kapustin Yar Missile and Space Complex,512 km (318 mi),557 km (346 mi),,95.2 mins,50.7°,,0.00325,"7 June 1979, 01:30:00 IST",17 February 1989,First experimental remote sensing satellite. Carried TV and microwave cameras
3.0,Rohini Technology Payload,Experimental,,,35 kg (77 lb),,3 W,10 August 1979,SLV-3-E1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"Intended for measuring in-flight performance of first experimental flight of SLV-3, the first Indian launch vehicle. Did not achieve orbit"
4.0,Rohini RS-1 (Rohini-1B),Earth Sciences,1980-062A,11899,35 kg (77 lb),,16 W,"18 July 1980, 8:01:00 IST",SLV-3-E2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",305 km (190 mi),919 km (571 mi),,96.9 mins,44.7°,,0.04389,"18 July 1980, 1:30:00 IST",20 May 1981,"Used for measuring in-flight performance of second experimental launch of SLV-3. This was India's first indigenous satellite launch, making it the seventh nation to possess the capability to launch its own satellites on its own rockets"
5.0,Rohini RS-D1 (Rohini-2),Earth Sciences,1981-051A,12491,38 kg (84 lb),,16 W,"31 May 1981, 10:30:00 IST",SLV-3-D1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",186 km (116 mi),418 km (260 mi),,90.5 mins,46.3°,,0.01735,"31 May 1981, 1:30:00 IST",8 June 1981,Used for conducting some remote sensing technology studies using a landmark sensor payload. Launched by the first developmental launch of SLV-3
6.0,APPLE,Communications,1981-057B,12545,"670 kg (1,480 lb)",,210 W,"19 June 1981, 18:02:59 IST",Ariane-1 (V-3),"Centre Spatial Guyanais, Kourou","35,761.9 km (22,221.4 mi)","35,963 km (22,346 mi)","42,233 km (26,242 mi)",1439.6 mins,13.6°,97.57° E,0.00513,"19 June 1981, 1:30:00 IST",,First experimental communication satellite. Provided experience in building and operating a payload experiment three-axis stabilised communication satellite
7.0,Bhaskara -II,Engineering Earth Sciences,1981-115A,12968,444 kg (979 lb),,47 W,"20 November 1981, 14:08:00 IST",Modified SS-5 (SKean IRBM) plus Upper Stage,Kapustin Yar Missile and Space Complex,520 km (320 mi),542 km (337 mi),,95.2 mins,50.6°,,0.00159,"20 November 1981, 00:30:00 IST",30 November 1991,Second experimental remote sensing satellite; similar to Bhaskara-1. Provided experience in building and operating a remote sensing satellite system on an end-to-end basis
8.0,INSAT-1A,Communications,1982-031A,13129,"1,152.1 kg (2,540 lb)",,,"10 April 1982, 12:17:00 IST",Delta 3910 PAM-D,"Air Force Eastern Test Range, Florida","35,837.1 km (22,268.1 mi)","35,903.1 km (22,309.2 mi)","42,241 km (26,247 mi)",1440 mins,13.6°,40.85° E,,"10 April 1982, 07:17:00 IST",,First operational multipurpose communication and meteorology satellite. Procured from USA. Worked for only six months
9.0,Rohini RS-D2 (Rohini-3),Earth Sciences,1983-033A,14002,41.5 kg (91 lb),,16 W,"17 April 1983, 11:14:00 IST",SLV-3,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",389 km (242 mi),852 km (529 mi),,97.1 mins,46.6°,,0.03306,"17 April 1983, 00:30:00 IST",19 April 1990,Identical to RS-D1. Launched by the second developmental launch of SLV-3
10.0,INSAT-1B,Communications Earth Sciences,1983-089B,14318,"1,152 kg (2,540 lb)",,,"1 June 1983, 13:19:00 IST",Shuttle [PAM-D],"Air Force Eastern Test Range, Florida","35,776.2 km (22,230.3 mi)","35,869.6 km (22,288.3 mi)","42,193 km (26,218 mi)",1437.6 mins,14.8°,89.71° E,,"31 May 1983, 09:19:00 IST",,Identical to INSAT-1A. Served for more than design life of seven years
11.0,SROSS-1,Experimental,,,150 kg (330 lb),,90 W,24 March 1987,ASLV-D1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,Carried payload for launch vehicle performance monitoring and for gamma ray astronomy. Did not achieve orbit
12.0,IRS-1A,Earth Sciences,1988-021A,18960,"975 kg (2,150 lb)",,600 W,"17 March 1988, 12:42:00 IST",Vostok,"Baikonur Cosmodrome, Kazakhstan",902.3 km (560.7 mi),922.1 km (573.0 mi),"7,283 km (4,525 mi)",103.1 mins,99.3°,,0.00371,"17 March 1988, 00:30:00 IST",,Earth observation satellite. First operational remote sensing satellite
13.0,SROSS-2,Astronomy Space Physics,,,150 kg (330 lb),,90 W,13 July 1988,ASLV-D2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,Carried remote sensing payload of German space agency in addition to Gamma Ray astronomy payload. Did not achieve orbit
