s_no,sat_Name,Discipline,Launch_mass,Launch_date,Launch_vehicle,Launch_site,Periapsis_km,Apoapsis_km,Period_in_minutes,Success
1,Aryabhatta,Earth Science Space Science,360.0,1975-04-19,Interkosmos-2,Kapustin Yar,568.0,611.0,96.5,Pass
2,Bhaskara Sega-I,Astronomy Communications Engineering Earth Sciences,444.0,1979-06-07, Modified SS-5,Kapustin Yar,512.0,557.0,95.2,Pass
3,Rohini,Experimental,35.0,1979-08-10,SLV-3-E1,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
4,Rohini RS-1,Earth Sciences,35.0,1980-07-18,SLV-3-E2,Satish Dhawan Space Centre Sriharikota,305.0,919.0,96.9,Pass
5,Rohini RS-D1,Earth Sciences,38.0,1981-05-31,SLV-3-D1,Satish Dhawan Space Centre Sriharikota,186.0,418.0,90.5,Pass
6,APPLE,Communications,670.0,1981-06-19,Ariane-1 (V-3),Centre Spatial Guyanais Kourou,35761.9,35963.0,1439.6,Pass
7,Bhaskara -II,Engineering Earth Sciences,444.0,1981-11-20, Modified SS-5,Kapustin Yar,520.0,542.0,95.2,Pass
8,INSAT-1A,Communications,1152.1,1982-04-10,Delta 3910 PAM-D,Air Force Eastern Test Range Florida,35837.1,35903.1,1440.0,Pass
9,Rohini RS-D2,Earth Sciences,41.5,1983-04-17,SLV-3, Satish Dhawan Space Centre Sriharikota,389.0,852.0,97.1,Pass
10,INSAT-1B,Communications Earth Sciences,1152.0,1983-06-01,Shuttle [PAM-D],Air Force Eastern Test Range Florida,35776.2,35869.6,1437.6,Pass
11,SROSS-1,Experimental,150.0,1987-03-24,ASLV-D1,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
12,IRS-1A,Earth Sciences,975.0,1988-03-17,Vostok,Baikonur Cosmodrome Kazakhstan,902.3,922.1,103.1,Pass
13,SROSS-2,Astronomy Space Physics,150.0,1988-07-13,ASLV-D2,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
14,INSAT-1C,Communications Earth Sciences,1152.0,1988-07-22,Ariane-3, Centre Spatial Guyanais Kourou,35768.8,35821.5,1436.2,Pass
15,INSAT-1D,Communications Earth Sciences,1190.0,1990-06-12, Delta 4925,Air Force Eastern Test Range Florida,35729.2,35974.0,1435.9,Pass
16,IRS-1B,Earth Sciences,975.0,1991-08-29,Vostok, Baikonur Cosmodrome Kazakhstan,892.6,928.0,103.1,Pass
17,INSAT-2DT,Communications,1310.0,1992-02-27,Ariane-44L H10,Centre Spatial Guyanais Kourou,36122.8,36365.4,1459.2,Pass
18,SROSS-C,Astronomy Earth Sciences Space Physics,106.1,1992-05-20,ASLV-D3,Satish Dhawan Space Centre Sriharikota,255.0,429.0,91.0,Pass
19,INSAT-2A,Communications Earth Sciences,1906.0,1992-07-10,Ariane-44L H10,Centre Spatial Guyanais Kourou,35783.1,35846.9,1437.2,Pass
20,INSAT-2B,Communications Earth Sciences,1931.0,1993-07-23,Ariane-44L H10+,Centre Spatial Guyanais Kourou,35812.9,35941.2,1440.4,Pass
21,RS-1E,Earth Sciences,846.0,1993-09-20,PSLV-D1,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
22,SROSS-C2,Astronomy Space Physics,113.0,1994-05-05,ASLV-D4,Satish Dhawan Space Centre Sriharikota,433.0,917.0,98.1,Pass
23,IRS-P2,Earth Sciences,870.0,1994-10-15,PSLV-D2,Satish Dhawan Space Centre Sriharikota,819.2,820.8,101.1,Pass
24,INSAT-2C,Communications,2050.0,1995-12-07,Ariane-44L H10-3,Centre Spatial Guyanais Kourou,35918.4,35948.5,1443.2,Pass
25,IRS-1C,Earth Sciences,1250.0,1995-12-28,Molniya-M,Baikonur Cosmodrome Kazakhstan,823.0,824.9,101.2,Pass
