SN,Name,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks
114,EMISAT,2019-04-01,PSLV-C45/EMISAT MISSION,SSPO,,
28,INSAT-2E,1999-04-03,Ariane-42P H10-3,GSO,['Communication'],
73,IRNSS-1B,2014-04-04,PSLV-C24/IRNSS-1B,GSO,['Navigation'],
8,INSAT-1A,1982-04-10,Delta,GSO,['Communication'],Failed in Orbit
35,INSAT-3A,2003-04-10,Ariane5-V160,GSO,"['Climate & Environment', ' Communication']",
106,IRNSS-1I,2018-04-12,PSLV-C41/IRNSS-1I,GSO,['Navigation'],
54,GSAT-4,2010-04-15,GSLV-D3 / GSAT-4,GSO,['Communication'],Launch Unsuccessful
9,Rohini Satellite RS-D2,1983-04-17,SLV-3,LEO,['Earth Observation'],
31,GSAT-1,2001-04-18,GSLV-D1 / GSAT-1,GSO,['Communication'],
1,Aryabhata,1975-04-19,C-1 Intercosmos,,['Experimental'],
51,RISAT-2,2009-04-20,PSLV-C12 / RISAT-2,SSPO,['Earth Observation'],
52,ANUSAT,2009-04-20,PSLV-C12 / RISAT-2,SSPO,['Student Satellite'],
58,RESOURCESAT-2,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO,['Earth Observation'],
59,YOUTHSAT,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO,['Student Satellite'],
65,RISAT-1,2012-04-26,PSLV-C19/RISAT-1,SSPO,['Earth Observation'],
49,CARTOSAT – 2A,2008-04-28,PSLV-C9 / CARTOSAT – 2A,SSPO,['Earth Observation'],
48,IMS-1,2008-04-28,PSLV-C9 / CARTOSAT – 2A,SSPO,['Earth Observation'],
83,IRNSS-1G,2016-04-28,PSLV-C33/IRNSS-1G,GEO,['Navigation'],
3,Rohini Technology Payload (RTP),1979-08-10,SLV-3E1,,,Launch Unsuccessful
78,GSAT-6,2015-08-27,GSLV-D6,GTO,['Communication'],
16,IRS-1B,1991-08-29,Vostok,SSPO,['Earth Observation'],
10,INSAT-1B,1983-08-30,Shuttle [PAM-D],GSO,['Communication'],
70,GSAT-7,2013-08-30,Ariane-5 VA-215,GSO,['Communication'],
